,node_852r.3_harmonico_60,node_852r.3_harmonico_180,node_852r.3_harmonico_300,node_852r.3_harmonico_420,node_852r.3_harmonico_540,node_852r.3_harmonico_660,node_852r.3_harmonico_780,node_852r.3_harmonico_900,node_852r.3_harmonico_1020,node_852r.3_harmonico_1140,node_852r.3_harmonico_1260,node_852r.3_harmonico_1380,node_852r.3_harmonico_1500,node_852r.3_harmonico_1620,node_852r.3_harmonico_1740,node_852r.3_harmonico_1860,node_852r.3_harmonico_1980,node_852r.3_harmonico_2100,node_852r.3_harmonico_2220,node_852r.3_harmonico_2340,node_852r.3_harmonico_2460,node_852r.3_harmonico_2580,node_852r.3_harmonico_2700,node_852r.3_harmonico_2820,node_852r.3_harmonico_2940
1,20914.134401590603,0.0161704785006111,0.0418333769236838,0.0027082682555727,-0.002076677775094,-0.0021589419660103,-0.0015904338516971,-0.0008661841390082,-5.30087294643428e-05,0.0008685581315567,0.0019495237187986,0.0032747653834402,0.0050387475327621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-41828.91830290313,-0.0332032043607188,-0.0744237056677696,-0.0025496888490644,0.0041135046247774,0.0038017728484831,0.0025396850116148,0.0010424191909643,-0.0006184001276884,-0.0025095406421334,-0.0047642383660777,-0.0075935015836953,-0.0113376516808927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,20914.78390947935,0.0170327258601084,0.0325903287440859,-0.000158579406508,-0.0020368268496838,-0.0016428308824724,-0.0009492511599176,-0.000176235051956,0.0006714088571527,0.0016409825105766,0.0028147146472787,0.004318736200255,0.0062989041481315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.257961808849269,-0.0002419700446672,0.0038386854479178,0.0011565732319081,5.023297338270715e-06,-0.0001885097703935,-0.0002444183370492,-0.0002746077755,-0.000307971548783,-0.0003628091423043,-0.0004646318158747,-0.0006524914827951,-0.0009342975020721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-13072.32266484378,-0.0183770903862348,-0.0441819371349278,-0.0022255353124186,0.0022400215332757,0.002201866980564,0.001527649354579,0.0006889743295842,-0.000260154653766,-0.0013573034348334,-0.0026845807609601,-0.0043767054240461,-0.0066621051215236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13072.57151554674,0.0188904465130603,0.0414477544793072,0.0012042287128474,-0.0022163283579006,-0.0020089872563303,-0.0012980861004811,-0.0004610353531298,0.0004626098454119,0.0015062202296177,0.002736920893115,0.0042589461687548,0.0062306853869131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-13.797053404404624,-0.0743214179847782,0.138827204482776,0.0354762622388637,-0.0072784484333133,-0.0146010872235893,-0.0206094956732,-0.0292216601457403,-0.0425676854305583,-0.0638908438940698,-0.098903945259793,-0.1565338339378787,-0.2421395718406732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-13044.140561379209,-1.813826531577808,-2.994375384390925,0.1698362055721669,0.3286939300694648,0.2525501813251058,0.16187873273427,0.0708414580180378,-0.0253067351085875,-0.1350577714676857,-0.2703948136144697,-0.4488504017748791,-0.6934843987347458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,13059.753398936458,1.9414514364710695,2.926508532516356,-0.2186304540815578,-0.32590488086875,-0.2425231236931057,-0.1529946731024884,-0.0687337479680596,0.0131576350206456,0.0966504287167249,0.1855024151116751,0.2840504934783963,0.4023615864003055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-23.01471405350881,-0.1239998504511917,0.2292985410922964,0.058462283325824,-0.012176643022067,-0.0242748099063444,-0.0342710042559725,-0.0486335674966156,-0.0709002855329986,-0.1064751750008848,-0.1648817316807701,-0.2610020545842589,-0.4037811264282198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-13025.859231107946,-3.0178046816875743,-4.972879216028155,0.2850198598299804,0.5474564903281541,0.4203040370179652,0.2693057998230222,0.1178118285405297,-0.042135339277122,-0.2246901706993578,-0.4498068976025455,-0.7466708747760478,-1.15363433390925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,13051.370026743914,3.23064888786731,4.861265749850744,-0.3659025578016119,-0.5428452925747864,-0.4037073463830355,-0.2546388577409889,-0.1144596369695591,0.0216945592556375,0.1604311304642266,0.3079772017755329,0.4714988253716933,0.6676884369360889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-195.47368729683149,-1.0496779547449344,1.912736655266036,0.486157360069456,-0.1033033795369566,-0.2040821581763832,-0.2880302168952952,-0.408963964948917,-0.5964284836197564,-0.8956866584414855,-1.3865064213242624,-2.19343380282692,-3.3911001488072285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-12696.760970534802,-25.44711379153087,-41.8329639141453,2.421108575606594,4.6130243587077295,3.53615858777876,2.2626779940124155,0.9876197451016336,-0.3560705205509063,-1.8868793275011804,-3.77137916770076,-6.252774359966613,-9.649729260279232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,12897.09847731432,27.24686097324911,40.90467425812263,-3.100998851239899,-4.575325475219991,-3.397930098931538,-2.140936936860528,-0.961432176222754,0.1816599537217342,1.3435090065420086,2.575584690963633,3.936571904953515,5.564040003061262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-12694.871019322054,-25.444589025268225,-41.82275555755366,2.428997445497181,4.619300676317237,3.541627530892648,2.26728096947039,0.9909562880277832,-0.3546972263809521,-1.8885561790574568,-3.777786738903007,-6.2665282334151335,-9.674822866303918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-396.3059143769312,-2.131712604560079,3.8175321290887303,0.9573535634334704,-0.2224328925252631,-0.4197193410230754,-0.5808554837431286,-0.8107517342760482,-1.1638774247758,-1.7224420364655102,-2.630473361989937,-4.110217577496869,-6.283535950346955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-12330.145275238949,-51.503215026140325,-84.63839958914801,4.728116893698282,9.141269489527248,6.965729943397757,4.414402302215438,1.8918243922536169,-0.7212377090004319,-3.638208777814258,-7.152853229276643,-11.68578355508667,-17.77347529102023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,12707.842606977074,55.120811889253545,82.6391180194598,-6.207736409812136,-9.15253754876306,-6.7644925440117225,-4.234685928143487,-1.8832993215535492,0.3666861943331416,2.618217591180869,4.963657547515599,7.503691495618406,10.47529336333651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-551.8047894590624,-2.9898648586414027,5.303947553414388,1.3415983200803547,-0.2965050475287904,-0.5655152402060349,-0.7799753711454338,-1.0816488950561738,-1.5389402743541156,-2.2522976537439523,-3.3955875244415687,-5.232238537805446,-7.889699070143761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-12039.60913025838,-72.0708473773701,-118.28872063489855,6.420765242744765,12.531676333580242,9.481809855617378,5.946523317801786,2.5042904354707067,-0.987340805461804,-4.787140349262399,-9.240551337906718,-14.828160811069903,-22.138963258870795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,12553.739003028351,77.1193646770475,115.46121442152524,-8.515805092090973,-12.575480542375804,-9.228623806775731,-5.719609031956761,-2.5023829908913946,0.5187623720443372,3.4712518279061872,6.462021603551166,9.59825524357089,13.136771454377625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-605.1933135030133,-3.2532753822924,5.855495034443121,1.4818922368488143,-0.3220794987521845,-0.6180626207053305,-0.8521213062116207,-1.1806085594597466,-1.678456109157937,-2.455200409552388,-3.7002570893054574,-5.700508448135442,-8.594499015523704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-12336.52678080794,-74.23934101714835,-122.05347636811427,6.551351161472074,12.887690870008807,9.75663136161246,6.119106596660731,2.576192756841001,-1.0168666361502774,-4.925215140096124,-9.503040921199013,-15.243035836780823,-22.74882936132542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,12946.39900892057,79.91350996346864,119.84277125863616,-8.769457400086747,-13.011406813734476,-9.552400548983782,-5.9194936145413335,-2.587436225180756,0.5414548604661679,3.5984623913223794,6.693830009283966,9.937939532084446,13.595250736427678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-605.2266353277886,-3.253522703491269,5.856006750752732,1.4819519939911026,-0.32212071543759,-0.6181137630037156,-0.8521841614632387,-1.180690854032029,-1.678567610140791,-2.455354436685797,-3.700472920555582,-5.700812586823985,-8.594914440654886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-12336.394674332028,-74.2469449508169,-122.06363454606416,6.552595763474521,12.889090112381728,9.75758803358578,6.119669194616932,2.5764221637244487,-1.0169306125961,-4.925549762741127,-9.503635941345935,-15.24388964390134,-22.74993942075126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
